brand,model,year,variant,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,drive_type,seating_capacity,body_type,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,country_of_origin,market_segment,annual_sales_units,customer_rating,warranty_years
BYD,Dolphin,2024,Premium,83518.44,77.1,267.0,148.3,7.36,146.0,954.0,884.0,AWD,5,Coupe,21.5,1652.0,3,1,China,Premium,148454,3.28,5
Kia,Niro EV,2024,Premium,68436.66,70.0,249.0,131.3,7.12,141.0,790.0,742.0,AWD,5,Coupe,23.0,1556.0,3,0,South Korea,Premium,81219,3.63,3
Tesla,Model Y,2025,Performance,43196.41,111.9,408.0,293.7,4.23,197.0,338.0,357.0,RWD,7,Truck,70.3,2547.0,5,3,US,Mid-range,437912,4.03,5
Ford,Explorer EV,2024,Long Range,66402.61,90.5,334.0,96.1,5.88,162.0,752.0,677.0,RWD,5,Van,67.5,1894.0,5,1,US,Premium,36517,3.69,3
Tesla,Model X,2024,Performance,42932.18,99.0,356.0,209.1,3.87,192.0,227.0,200.0,RWD,7,Hatchback,27.2,1500.0,5,2,US,Mid-range,238196,4.0,5
Porsche,Macan Electric,2022,Long Range,101897.93,76.1,254.0,291.0,5.76,163.0,335.0,326.0,AWD,7,Truck,72.1,2679.0,5,0,Germany,Luxury,26972,3.68,7
Ford,E-Transit,2025,Premium,45539.59,55.1,198.0,143.8,5.26,173.0,379.0,335.0,AWD,5,Hatchback,16.4,1785.0,5,0,US,Mid-range,26865,3.0,3
Tesla,Model S,2024,Premium,66707.72,45.8,150.0,301.1,5.19,166.0,486.0,420.0,AWD,5,Van,69.7,1686.0,5,2,US,Premium,187104,3.23,5
Tesla,Model S,2020,Performance,102900.51,74.1,231.0,323.4,2.61,200.0,708.0,567.0,RWD,5,Truck,79.8,2284.0,3,2,US,Luxury,184383,3.8,5
Ford,Explorer EV,2024,Long Range,69723.4,91.5,331.0,118.7,5.32,180.0,792.0,705.0,AWD,7,Truck,72.9,2451.0,5,0,US,Premium,54063,3.64,4
GM/Chevrolet,Bolt EUV,2025,Performance,102049.38,116.6,395.0,163.2,4.21,192.0,1000.0,893.0,AWD,5,Van,72.1,1834.0,4,1,US,Luxury,7957,4.16,5
GM/Chevrolet,Equinox EV,2024,Long Range,78668.52,102.9,368.0,72.1,4.44,179.0,1000.0,916.0,AWD,5,SUV,65.5,2096.0,5,0,US,Premium,14020,3.97,4
Ford,Mustang Mach-E,2024,Standard,79438.2,82.5,299.0,128.6,6.77,149.0,967.0,916.0,RWD,5,Van,80.0,1521.0,5,0,US,Premium,21827,3.81,3
Tesla,Model 3,2024,Performance,139025.28,93.4,320.0,293.9,3.06,200.0,995.0,917.0,AWD,5,Coupe,17.8,1500.0,4,2,US,Luxury,220216,4.07,5
Volkswagen,ID.3,2025,Base,38889.44,65.0,231.0,142.7,6.1,160.0,313.0,257.0,FWD,5,Sedan,20.9,1571.0,5,1,Germany,Mid-range,293320,3.41,3
Tesla,Model 3,2025,Performance,169366.43,117.4,416.0,241.6,3.06,200.0,1000.0,931.0,RWD,7,SUV,44.7,1923.0,5,2,US,Luxury,248754,4.09,5
Mercedes,GLE EV,2023,Standard,144581.79,42.8,150.0,146.8,6.34,156.0,852.0,767.0,FWD,7,SUV,57.7,1857.0,4,1,Germany,Luxury,76491,3.42,7
BMW,iX,2023,Premium,86081.93,72.3,247.0,125.7,5.89,166.0,612.0,541.0,AWD,7,Truck,60.3,2745.0,4,2,Germany,Premium,51887,3.42,6
BYD,Max,2026,Performance,101561.3,101.6,329.0,185.5,2.59,200.0,1000.0,906.0,RWD,5,Truck,62.3,2633.0,3,0,China,Luxury,216998,3.69,3
Tesla,Cybertruck,2024,Long Range,158925.9,82.5,291.0,310.8,4.06,186.0,1000.0,962.0,AWD,5,Truck,67.0,2567.0,5,3,US,Luxury,138950,3.85,6
BYD,Yuan Plus,2023,Standard,21523.03,42.4,150.0,72.7,6.84,157.0,207.0,200.0,FWD,7,Sedan,16.9,1621.0,4,0,China,Budget,183596,3.23,3
BYD,Leaf 50X,2024,Premium,100360.19,50.0,193.0,132.4,6.15,155.0,1000.0,888.0,RWD,5,Van,61.5,1876.0,5,0,China,Luxury,137465,3.1,4
GM/Chevrolet,Bolt EUV,2026,Base,63696.78,78.0,262.0,101.2,7.32,136.0,835.0,746.0,FWD,5,Truck,62.1,2581.0,5,0,US,Mid-range,8032,3.56,3
BMW,i3,2024,Standard,84405.92,52.5,173.0,105.6,5.09,169.0,612.0,505.0,RWD,5,Truck,57.9,2679.0,3,1,Germany,Premium,42777,3.19,6
Audi,Q6 e-tron,2024,Standard,73910.79,41.9,150.0,94.4,7.68,142.0,431.0,377.0,FWD,5,SUV,53.0,2121.0,4,1,Germany,Premium,36319,3.0,5
Hyundai,Ioniq 5,2025,Performance,57904.84,80.5,286.0,194.1,2.76,200.0,704.0,589.0,AWD,7,Sedan,30.1,1792.0,4,2,South Korea,Mid-range,68118,3.73,4
Tesla,Cybertruck,2024,Base,38394.15,47.7,189.0,334.7,5.25,169.0,227.0,200.0,AWD,7,Truck,68.1,2403.0,3,3,US,Mid-range,246203,3.51,4
GM/Chevrolet,Bolt EUV,2026,Standard,71136.28,49.6,171.0,135.8,7.19,142.0,938.0,820.0,FWD,5,Hatchback,39.3,1500.0,5,0,US,Premium,27175,3.31,4
GM/Chevrolet,Blazer EV,2024,Long Range,76560.48,82.9,300.0,143.0,4.19,184.0,1000.0,882.0,RWD,5,Van,75.0,1598.0,4,0,US,Premium,12139,3.5,4
Kia,Niro EV,2023,Premium,92594.29,74.2,257.0,76.8,6.08,158.0,1000.0,874.0,AWD,5,Coupe,23.4,1506.0,5,0,South Korea,Premium,83731,3.6,4
Ford,Mustang Mach-E,2023,Long Range,76072.0,105.6,363.0,104.6,4.21,189.0,891.0,791.0,FWD,5,Hatchback,21.8,1734.0,5,0,US,Premium,48060,4.04,4
Hyundai,Ioniq,2024,Standard,44654.99,65.4,223.0,143.4,7.07,146.0,440.0,435.0,RWD,5,SUV,43.9,1844.0,4,1,South Korea,Mid-range,128091,3.0,4
Hyundai,Ioniq 6,2025,Performance,45837.99,84.4,306.0,182.4,3.82,192.0,416.0,397.0,RWD,5,Sedan,36.2,1557.0,5,0,South Korea,Mid-range,96533,3.3,3
Volkswagen,ID.4,2023,Performance,80921.96,108.9,399.0,199.3,3.77,198.0,878.0,828.0,RWD,5,Hatchback,29.1,1500.0,3,1,Germany,Premium,234095,3.86,5
Tesla,Model X,2023,Performance,184745.86,106.3,348.0,325.6,3.73,198.0,1000.0,915.0,RWD,5,Coupe,31.5,1782.0,3,3,US,Luxury,148529,4.29,5
Tesla,Cybertruck,2024,Performance,177944.09,93.0,295.0,334.1,3.79,193.0,1000.0,868.0,RWD,5,Truck,59.7,2270.0,3,3,US,Luxury,234160,3.91,6
Tesla,Cybertruck,2024,Base,59967.87,70.0,238.0,220.7,5.24,159.0,393.0,348.0,AWD,7,Truck,63.9,2448.0,4,2,US,Mid-range,228933,3.44,5
BMW,iX,2024,Performance,84125.95,98.9,363.0,225.3,4.25,192.0,658.0,592.0,RWD,5,Hatchback,34.2,1588.0,5,1,Germany,Premium,33561,3.47,7
BYD,Qin,2022,Standard,37515.42,52.5,194.0,133.2,7.93,137.0,360.0,323.0,AWD,5,Truck,51.2,2894.0,4,0,China,Mid-range,192045,3.31,5
Hyundai,Kona Electric,2022,Long Range,84513.62,109.9,400.0,83.7,5.88,165.0,1000.0,907.0,RWD,7,Coupe,32.6,1784.0,4,1,South Korea,Premium,95418,3.69,4
Audi,e-tron,2025,Premium,80343.06,66.3,231.0,56.2,6.02,161.0,459.0,414.0,RWD,7,Van,67.1,1500.0,5,1,Germany,Premium,43236,3.38,7
BYD,Leaf 50X,2025,Base,75747.87,69.2,279.0,108.2,6.2,154.0,815.0,722.0,FWD,5,Sedan,30.5,1500.0,3,0,China,Premium,114789,3.65,3
Volkswagen,ID.3,2024,Performance,50097.49,98.3,341.0,179.6,2.79,200.0,436.0,358.0,FWD,5,Van,75.1,1780.0,3,0,Germany,Mid-range,263009,3.76,5
GM/Chevrolet,Bolt EUV,2024,Premium,43668.28,79.4,284.0,108.1,7.81,120.0,453.0,469.0,RWD,7,Truck,60.3,2572.0,4,1,US,Mid-range,1211,3.34,3
BYD,Qin,2025,Long Range,61700.64,101.3,351.0,69.9,4.53,175.0,649.0,584.0,AWD,7,SUV,62.5,1726.0,5,1,China,Mid-range,190763,4.0,3
Tesla,Model 3,2025,Premium,152706.13,77.1,260.0,325.6,6.63,155.0,1000.0,857.0,AWD,5,SUV,42.1,1903.0,4,2,US,Luxury,172494,3.77,5
BYD,Max,2023,Performance,26461.18,71.3,265.0,249.5,2.9,200.0,236.0,202.0,RWD,7,SUV,41.5,2379.0,3,2,China,Budget,226324,3.6,3
Tesla,Model 3,2026,Base,36489.36,45.5,150.0,253.7,7.97,131.0,247.0,226.0,AWD,5,Van,65.7,1500.0,3,2,US,Mid-range,214895,3.58,5
Rivian,R3,2021,Base,60978.95,84.5,304.0,61.5,6.47,153.0,150.0,200.0,FWD,5,Hatchback,16.8,1500.0,5,2,US,Mid-range,7599,3.41,6
Ford,F-150 Lightning,2025,Base,57536.04,73.3,254.0,69.5,7.43,139.0,619.0,529.0,FWD,4,Truck,74.1,2341.0,4,1,US,Mid-range,44164,3.54,4
BMW,i3,2025,Performance,162822.68,70.6,255.0,193.4,2.76,200.0,1000.0,867.0,AWD,7,Truck,62.6,2729.0,5,1,Germany,Luxury,48304,3.22,7
Mercedes,EQG,2023,Long Range,163924.89,83.9,285.0,119.9,4.66,180.0,1000.0,946.0,AWD,5,Coupe,27.2,1540.0,4,1,Germany,Luxury,50822,3.77,6
Ford,F-150 Lightning,2024,Long Range,54997.37,100.7,353.0,144.1,4.35,183.0,523.0,469.0,FWD,2,Truck,60.8,2427.0,5,0,US,Mid-range,49671,3.66,3
Tesla,Model Y,2026,Standard,96644.91,76.4,244.0,238.4,5.98,164.0,684.0,604.0,RWD,5,Sedan,28.9,1500.0,5,2,US,Premium,408778,4.03,4
Audi,e-tron,2025,Standard,72972.25,58.0,223.0,129.9,7.8,139.0,409.0,398.0,FWD,7,SUV,63.6,1928.0,5,1,Germany,Premium,23427,3.35,5
Kia,Niro EV,2023,Premium,38796.18,49.4,150.0,141.2,5.12,168.0,376.0,343.0,RWD,7,Coupe,38.4,1751.0,5,1,South Korea,Mid-range,146563,3.09,4
Ford,Mustang Mach-E,2023,Base,59885.41,65.9,231.0,81.2,6.28,148.0,667.0,623.0,AWD,5,Truck,65.7,2597.0,4,1,US,Mid-range,28589,3.5,4
Audi,Q6 e-tron,2024,Long Range,130606.12,106.6,385.0,58.2,5.2,169.0,1000.0,873.0,RWD,7,SUV,61.8,2080.0,5,2,Germany,Luxury,39897,3.7,7
BYD,Atto 3,2024,Long Range,47823.41,77.2,258.0,118.3,4.47,182.0,535.0,460.0,RWD,7,Coupe,33.5,1500.0,5,0,China,Mid-range,108045,3.61,4
Tesla,Model S,2023,Performance,65004.86,111.0,405.0,260.3,3.66,200.0,448.0,345.0,RWD,7,Truck,71.3,2744.0,4,3,US,Premium,208805,4.34,4
BYD,Qin,2024,Standard,21712.4,83.3,307.0,77.1,5.75,171.0,190.0,200.0,RWD,5,Van,78.2,1628.0,4,0,China,Budget,169389,3.37,3
Volkswagen,ID. Aero,2024,Long Range,54335.65,77.6,286.0,91.5,4.84,186.0,485.0,454.0,RWD,7,Sedan,18.4,1630.0,5,0,Germany,Mid-range,284565,3.65,3
Ford,Explorer EV,2024,Base,53737.95,61.5,226.0,78.1,7.47,152.0,555.0,526.0,RWD,7,Sedan,32.6,1500.0,3,1,US,Mid-range,62660,3.28,3
Mercedes,GLE EV,2026,Standard,68994.81,48.5,168.0,130.2,6.02,157.0,287.0,240.0,FWD,7,Van,60.2,1568.0,5,1,Germany,Premium,79213,3.77,7
Tesla,Model Y,2024,Base,105607.38,44.4,150.0,201.0,6.21,163.0,784.0,689.0,FWD,7,Van,79.8,1500.0,4,2,US,Luxury,422392,3.52,5
Hyundai,i30,2025,Performance,97964.98,106.9,392.0,183.9,3.92,192.0,1000.0,914.0,RWD,7,Truck,59.8,2842.0,4,0,South Korea,Premium,98285,3.82,3
Volkswagen,ID. Buzz,2025,Standard,60229.21,40.6,150.0,137.8,7.86,145.0,580.0,569.0,FWD,7,SUV,45.9,2260.0,5,1,Germany,Mid-range,215577,3.2,4
BYD,Leaf 50X,2025,Premium,41881.7,82.8,280.0,147.0,7.2,138.0,459.0,427.0,AWD,7,SUV,61.7,2237.0,4,1,China,Mid-range,128802,3.46,3
Tesla,Model 3,2024,Long Range,138760.96,99.4,376.0,338.9,5.24,175.0,1000.0,928.0,FWD,5,Sedan,19.9,1500.0,5,2,US,Luxury,204411,3.95,5
BYD,Atto 3,2025,Long Range,90653.56,81.3,304.0,52.5,5.38,164.0,1000.0,895.0,FWD,5,Van,64.0,1500.0,5,0,China,Premium,227338,3.64,4
NIO,EL8,2022,Base,53544.18,45.0,186.0,121.5,5.72,172.0,279.0,237.0,AWD,7,SUV,40.8,1956.0,4,1,China,Mid-range,10495,3.38,5
BYD,Dolphin,2025,Long Range,27390.16,86.0,278.0,137.3,4.17,187.0,321.0,285.0,AWD,7,Coupe,19.8,1616.0,4,0,China,Budget,146828,3.67,4
Hyundai,Ioniq 5,2025,Long Range,94028.85,102.7,334.0,104.5,4.08,194.0,1000.0,949.0,AWD,5,SUV,55.4,2407.0,4,1,South Korea,Premium,71912,3.59,3
GM/Chevrolet,Bolt EV,2025,Premium,59620.99,44.8,150.0,111.3,7.42,142.0,825.0,763.0,RWD,7,Coupe,20.1,1744.0,5,0,US,Mid-range,21979,3.27,4
Volkswagen,ID. Buzz,2025,Performance,78713.93,85.5,300.0,199.7,2.86,200.0,812.0,761.0,AWD,5,Truck,60.2,2608.0,4,0,Germany,Premium,216549,3.66,4
Fisker,Ocean,2022,Long Range,59484.88,82.4,287.0,106.0,5.72,163.0,389.0,407.0,RWD,7,Hatchback,19.8,1611.0,5,0,US,Mid-range,23860,3.43,5
Toyota,bZ4X,2025,Performance,62345.64,105.4,377.0,208.3,2.75,200.0,708.0,618.0,AWD,5,Truck,68.7,2450.0,5,0,Japan,Mid-range,15819,4.18,3
BYD,Dolphin,2023,Performance,33904.31,91.8,310.0,177.7,3.62,200.0,356.0,315.0,RWD,5,Sedan,33.1,1623.0,4,2,China,Budget,106140,3.65,3
Hyundai,Kona Electric,2025,Long Range,40497.64,109.0,417.0,73.7,4.97,177.0,340.0,302.0,AWD,7,SUV,41.8,2284.0,3,1,South Korea,Mid-range,61921,3.92,3
BYD,Dolphin,2024,Premium,89340.39,64.6,223.0,111.7,7.58,132.0,1000.0,861.0,AWD,7,Van,67.3,1633.0,5,2,China,Premium,229760,3.35,4
BYD,Seagull,2023,Long Range,77902.26,85.2,288.0,67.0,4.19,183.0,837.0,747.0,AWD,5,SUV,54.1,1861.0,5,1,China,Premium,177211,3.38,3
Tesla,Model S,2025,Standard,67489.81,67.1,239.0,339.9,6.73,146.0,480.0,402.0,RWD,5,Coupe,28.4,1692.0,4,2,US,Premium,226745,3.61,5
Kia,Sportage EV,2025,Performance,99993.15,93.7,336.0,154.0,3.15,196.0,1000.0,897.0,RWD,5,SUV,39.6,2114.0,4,1,South Korea,Premium,52100,3.59,3
Hyundai,Ioniq,2024,Base,29445.04,64.2,222.0,133.0,5.4,173.0,180.0,200.0,FWD,7,Hatchback,30.7,1684.0,5,2,South Korea,Budget,53245,3.2,3
Tesla,Cybertruck,2024,Long Range,57586.87,108.4,364.0,235.9,5.26,163.0,428.0,397.0,RWD,5,Truck,69.6,2629.0,4,2,US,Mid-range,136381,3.84,4
